run,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9
1,6.643856189774724,5.906890595608519,5.087462841250339,4.087462841250339,3.0,1.584962500721156,0.0,0.0,0.0
2,6.643856189774724,6.108524456778169,5.357552004618084,4.643856189774724,3.700439718141092,2.584962500721156,1.584962500721156,1.0,1.0
3,6.643856189774724,5.857980995127572,5.087462841250339,4.392317422778761,3.4594316186372973,2.584962500721156,1.584962500721156,1.0,0.0
4,6.643856189774724,6.129283016944966,5.459431618637297,4.643856189774724,3.9068905956085187,3.169925001442312,2.321928094887362,1.0,1.0
5,6.643856189774724,5.977279923499917,5.087462841250339,4.087462841250339,3.0,2.0,0.0,0.0,0.0
6,6.643856189774724,6.108524456778169,5.357552004618084,4.643856189774724,3.807354922057604,3.169925001442312,2.0,1.0,0.0
7,6.643856189774724,5.832890014164741,5.044394119358453,4.169925001442312,3.169925001442312,2.0,0.0,0.0,0.0
8,6.643856189774724,5.977279923499917,5.20945336562895,4.392317422778761,3.321928094887362,2.0,1.0,0.0,0.0
9,6.643856189774724,5.954196310386875,5.129283016944966,4.459431618637297,3.584962500721156,2.584962500721156,1.584962500721156,0.0,0.0
10,6.643856189774724,6.0,5.20945336562895,4.321928094887363,3.321928094887362,2.321928094887362,1.0,0.0,0.0
