run,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9
1,6.643856189774724,5.857980995127572,4.954196310386875,4.169925001442312,3.321928094887362,2.321928094887362,0.0,0.0,0.0
2,6.643856189774724,6.066089190457772,5.285402218862249,4.392317422778761,3.321928094887362,2.321928094887362,0.0,0.0,0.0
3,6.643856189774724,5.906890595608519,4.954196310386875,3.807354922057604,2.584962500721156,1.0,0.0,0.0,0.0
4,6.643856189774724,5.857980995127572,5.20945336562895,4.321928094887363,3.321928094887362,2.0,0.0,0.0,0.0
5,6.643856189774724,5.906890595608519,5.20945336562895,4.247927513443585,3.169925001442312,2.0,1.0,1.0,1.0
6,6.643856189774724,5.807354922057604,5.0,4.0,3.0,1.584962500721156,0.0,0.0,0.0
7,6.643856189774724,5.954196310386875,5.20945336562895,4.392317422778761,3.4594316186372973,2.321928094887362,0.0,0.0,0.0
8,6.643856189774724,5.882643049361842,4.857980995127572,3.807354922057604,2.584962500721156,1.0,1.0,1.0,1.0
9,6.643856189774724,6.108524456778169,5.321928094887363,4.700439718141093,3.9068905956085187,2.807354922057604,0.0,0.0,0.0
10,6.643856189774724,5.807354922057604,4.754887502163468,3.700439718141092,2.584962500721156,1.0,0.0,0.0,0.0
