run,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9
1,6.643856189774724,5.832890014164741,4.906890595608519,3.807354922057604,2.584962500721156,1.0,0.0,0.0,0.0
2,6.643856189774724,6.022367813028454,5.357552004618084,4.643856189774724,3.700439718141092,2.807354922057604,1.584962500721156,1.0,1.0
3,6.643856189774724,6.0,5.426264754702098,4.643856189774724,3.700439718141092,2.584962500721156,1.584962500721156,0.0,0.0
4,6.643856189774724,5.832890014164741,4.857980995127572,3.807354922057604,2.584962500721156,1.0,0.0,0.0,0.0
5,6.643856189774724,5.78135971352466,4.954196310386875,4.087462841250339,3.169925001442312,2.0,0.0,0.0,0.0
6,6.643856189774724,6.189824558880018,5.643856189774724,4.906890595608519,4.0,3.169925001442312,2.0,0.0,0.0
7,6.643856189774724,6.129283016944966,5.357552004618084,4.700439718141093,3.9068905956085187,2.807354922057604,1.584962500721156,0.0,0.0
8,6.643856189774724,5.754887502163468,4.906890595608519,4.087462841250339,2.807354922057604,1.584962500721156,0.0,0.0,0.0
9,6.643856189774724,6.066089190457772,5.357552004618084,4.643856189774724,3.700439718141092,2.807354922057604,1.584962500721156,1.0,1.0
10,6.643856189774724,5.954196310386875,5.247927513443585,4.584962500721156,3.584962500721156,2.807354922057604,1.584962500721156,0.0,0.0
