run,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9
1,6.643856189774724,6.066089190457772,5.20945336562895,4.247927513443585,3.321928094887362,0.0,0.0,0.0,0.0
2,6.643856189774724,5.554588851677638,4.584962500721156,3.4594316186372973,2.0,0.0,0.0,0.0,0.0
3,6.643856189774724,5.672425341971495,4.754887502163468,3.807354922057604,2.584962500721156,0.0,0.0,0.0,0.0
4,6.643856189774724,5.906890595608519,5.0,3.807354922057604,2.584962500721156,0.0,0.0,0.0,0.0
5,6.643856189774724,6.108524456778169,5.392317422778761,4.392317422778761,3.4594316186372973,1.0,1.0,1.0,1.0
6,6.643856189774724,6.108524456778169,5.285402218862249,4.321928094887363,3.321928094887362,0.0,0.0,0.0,0.0
7,6.643856189774724,6.129283016944966,5.523561956057013,4.807354922057604,4.0,0.0,0.0,0.0,0.0
8,6.643856189774724,5.700439718141093,4.643856189774724,3.584962500721156,2.321928094887362,1.0,1.0,1.0,1.0
9,6.643856189774724,5.832890014164741,4.857980995127572,3.700439718141092,2.584962500721156,0.0,0.0,0.0,0.0
10,6.643856189774724,5.832890014164741,5.0,3.9068905956085187,2.807354922057604,0.0,0.0,0.0,0.0
