model,step,mean_entropy_bits,std_entropy_bits
Oracle,1,6.643856189774725,9.362222582871203e-16
Oracle,2,5.89125456566873,0.20718611229261893
Oracle,3,5.025242215111389,0.320819714069988
Oracle,4,4.003596223039058,0.42266504059705406
Oracle,5,2.898745832752046,0.6082297406673052
Oracle,6,0.2,0.42163702135578396
Oracle,7,0.2,0.42163702135578396
Oracle,8,0.2,0.42163702135578396
Oracle,9,0.2,0.42163702135578396
GPT 5,1,6.643856189774725,9.362222582871203e-16
GPT 5,2,5.915590603257205,0.10147154940498943
GPT 5,3,5.075695152870126,0.19546303729970677
GPT 5,4,4.154000473572817,0.31958673513498265
GPT 5,5,3.1256919002513683,0.4386974919628382
GPT 5,6,1.8358101707440848,0.6553547123081794
GPT 5,7,0.2,0.42163702135578396
GPT 5,8,0.2,0.42163702135578396
GPT 5,9,0.2,0.42163702135578396
Gemini 2.5 Pro,1,6.643856189774725,9.362222582871203e-16
Gemini 2.5 Pro,2,5.930806393710088,0.1499614098709733
Gemini 2.5 Pro,3,5.0684538517469395,0.3422457901072855
Gemini 2.5 Pro,4,4.137977575029921,0.43046073776123006
Gemini 2.5 Pro,5,3.083653323463819,0.5805113441911538
Gemini 2.5 Pro,6,1.8528026708883156,0.7018038588676047
Gemini 2.5 Pro,7,0.2,0.42163702135578396
Gemini 2.5 Pro,8,0.2,0.42163702135578396
Gemini 2.5 Pro,9,0.2,0.42163702135578396
Grok 4,1,6.643856189774725,9.362222582871203e-16
Grok 4,2,5.95637881337157,0.15070967923287348
Grok 4,3,5.201666296850614,0.27369162277583253
Grok 4,4,4.391349691041083,0.4023373101525209
Grok 4,5,3.374037717569518,0.5424159758833693
Grok 4,6,2.2569269691115044,0.8048695524515276
Grok 4,7,0.992481250360578,0.8634774860532999
Grok 4,8,0.2,0.42163702135578396
Grok 4,9,0.2,0.42163702135578396
Claude Sonnet 4.5,1,6.643856189774725,9.362222582871203e-16
Claude Sonnet 4.5,2,5.985284969278885,0.1043491897687857
Claude Sonnet 4.5,3,5.202950801918581,0.14308102252915617
Claude Sonnet 4.5,4,4.384241381234935,0.21958370285300732
Claude Sonnet 4.5,5,3.4272860546382704,0.32120658609624053
Claude Sonnet 4.5,6,2.400162810065661,0.5205321505961645
Claude Sonnet 4.5,7,1.107681559705083,0.8601087842565279
Claude Sonnet 4.5,8,0.4,0.5163977794943223
Claude Sonnet 4.5,9,0.2,0.42163702135578396
