model,step,seed,entropy_bits
Claude Sonnet 4.5,1,1,6.459431618637297
Claude Sonnet 4.5,2,1,5.906890595608519
Claude Sonnet 4.5,3,1,5.087462841250339
Claude Sonnet 4.5,4,1,4.087462841250339
Claude Sonnet 4.5,5,1,3.0
Claude Sonnet 4.5,6,1,1.584962500721156
Claude Sonnet 4.5,7,1,1.0
Claude Sonnet 4.5,8,1,1.0
Claude Sonnet 4.5,9,1,1.0
Claude Sonnet 4.5,1,2,6.459431618637297
Claude Sonnet 4.5,2,2,6.108524456778169
Claude Sonnet 4.5,3,2,5.357552004618084
Claude Sonnet 4.5,4,2,4.643856189774724
Claude Sonnet 4.5,5,2,3.700439718141092
Claude Sonnet 4.5,6,2,2.584962500721156
Claude Sonnet 4.5,7,2,1.0
Claude Sonnet 4.5,8,2,1.0
Claude Sonnet 4.5,9,2,1.0
Claude Sonnet 4.5,1,3,6.459431618637297
Claude Sonnet 4.5,2,3,5.857980995127572
Claude Sonnet 4.5,3,3,5.087462841250339
Claude Sonnet 4.5,4,3,4.392317422778761
Claude Sonnet 4.5,5,3,3.4594316186372973
Claude Sonnet 4.5,6,3,2.584962500721156
Claude Sonnet 4.5,7,3,1.0
Claude Sonnet 4.5,8,3,1.0
Claude Sonnet 4.5,9,3,1.0
Claude Sonnet 4.5,1,4,6.459431618637297
Claude Sonnet 4.5,2,4,6.129283016944966
Claude Sonnet 4.5,3,4,5.459431618637297
Claude Sonnet 4.5,4,4,4.643856189774724
Claude Sonnet 4.5,5,4,3.9068905956085187
Claude Sonnet 4.5,6,4,3.169925001442312
Claude Sonnet 4.5,7,4,0.0
Claude Sonnet 4.5,8,4,0.0
Claude Sonnet 4.5,9,4,0.0
Claude Sonnet 4.5,1,5,6.459431618637297
Claude Sonnet 4.5,2,5,5.977279923499917
Claude Sonnet 4.5,3,5,5.087462841250339
Claude Sonnet 4.5,4,5,4.087462841250339
Claude Sonnet 4.5,5,5,3.0
Claude Sonnet 4.5,6,5,2.0
Claude Sonnet 4.5,7,5,0.0
Claude Sonnet 4.5,8,5,0.0
Claude Sonnet 4.5,9,5,0.0
Claude Sonnet 4.5,1,6,6.459431618637297
Claude Sonnet 4.5,2,6,6.108524456778169
Claude Sonnet 4.5,3,6,5.357552004618084
Claude Sonnet 4.5,4,6,4.643856189774724
Claude Sonnet 4.5,5,6,3.807354922057604
Claude Sonnet 4.5,6,6,3.169925001442312
Claude Sonnet 4.5,7,6,0.0
Claude Sonnet 4.5,8,6,0.0
Claude Sonnet 4.5,9,6,0.0
Claude Sonnet 4.5,1,7,6.459431618637297
Claude Sonnet 4.5,2,7,5.832890014164741
Claude Sonnet 4.5,3,7,5.044394119358453
Claude Sonnet 4.5,4,7,4.169925001442312
Claude Sonnet 4.5,5,7,3.169925001442312
Claude Sonnet 4.5,6,7,2.0
Claude Sonnet 4.5,7,7,0.0
Claude Sonnet 4.5,8,7,0.0
Claude Sonnet 4.5,9,7,0.0
Claude Sonnet 4.5,1,8,6.459431618637297
Claude Sonnet 4.5,2,8,5.977279923499917
Claude Sonnet 4.5,3,8,5.20945336562895
Claude Sonnet 4.5,4,8,4.392317422778761
Claude Sonnet 4.5,5,8,3.321928094887362
Claude Sonnet 4.5,6,8,2.0
Claude Sonnet 4.5,7,8,0.0
Claude Sonnet 4.5,8,8,0.0
Claude Sonnet 4.5,9,8,0.0
Claude Sonnet 4.5,1,9,6.459431618637297
Claude Sonnet 4.5,2,9,5.954196310386875
Claude Sonnet 4.5,3,9,5.129283016944966
Claude Sonnet 4.5,4,9,4.459431618637297
Claude Sonnet 4.5,5,9,3.584962500721156
Claude Sonnet 4.5,6,9,2.584962500721156
Claude Sonnet 4.5,7,9,0.0
Claude Sonnet 4.5,8,9,0.0
Claude Sonnet 4.5,9,9,0.0
Claude Sonnet 4.5,1,10,6.459431618637297
Claude Sonnet 4.5,2,10,6.0
Claude Sonnet 4.5,3,10,5.20945336562895
Claude Sonnet 4.5,4,10,4.321928094887363
Claude Sonnet 4.5,5,10,3.321928094887362
Claude Sonnet 4.5,6,10,2.321928094887362
Claude Sonnet 4.5,7,10,0.0
Claude Sonnet 4.5,8,10,0.0
Claude Sonnet 4.5,9,10,0.0
