model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Claude Sonnet 4.5,1,6.459431618637297,0.0,6.459431618637297,6.459431618637297
GPT 5,1,6.491853096329675,0.0,6.491853096329675,6.491853096329675
Gemini 2.5 Pro,1,6.569855608330948,0.0,6.569855608330948,6.569855608330948
Grok 4,1,6.523561956057013,0.0,6.523561956057013,6.523561956057013
Oracle,1,6.321928094887363,0.0,6.321928094887363,6.321928094887363
Claude Sonnet 4.5,2,5.977279923499917,0.10434918976878564,5.832890014164741,6.129283016944966
GPT 5,2,5.906890595608519,0.10147154940498951,5.807354922057604,6.108524456778169
Gemini 2.5 Pro,2,5.930737337562887,0.0,5.930737337562887,5.930737337562887
Grok 4,2,5.954196310386875,0.15070967923287357,5.754887502163468,6.189824558880018
Oracle,2,5.882643049361842,0.20718611229261905,5.554588851677638,6.129283016944966
Claude Sonnet 4.5,3,5.20945336562895,0.14308102252915617,5.044394119358453,5.459431618637297
GPT 5,3,5.087462841250339,0.19546303729970677,4.754887502163468,5.321928094887363
Gemini 2.5 Pro,3,5.321928094887363,0.0,5.321928094887363,5.321928094887363
Grok 4,3,5.20945336562895,0.2736916227758326,4.857980995127572,5.643856189774724
Oracle,3,5.044394119358453,0.3208197140699881,4.584962500721156,5.523561956057013
Claude Sonnet 4.5,4,4.392317422778761,0.21958370285300735,4.087462841250339,4.643856189774724
GPT 5,4,4.169925001442312,0.3195867351349825,3.700439718141092,4.700439718141092
Gemini 2.5 Pro,4,4.643856189774724,0.0,4.643856189774724,4.643856189774724
Grok 4,4,4.392317422778761,0.4023373101525208,3.807354922057604,4.906890595608519
Oracle,4,4.0,0.42266504059705395,3.4594316186372973,4.807354922057604
Claude Sonnet 4.5,5,3.4594316186372973,0.3212065860962405,3.0,3.9068905956085187
GPT 5,5,3.169925001442312,0.43869749196283814,2.584962500721156,3.9068905956085187
Gemini 2.5 Pro,5,3.584962500721156,0.0,3.584962500721156,3.584962500721156
Grok 4,5,3.321928094887362,0.5424159758833691,2.584962500721156,4.0
Oracle,5,2.807354922057604,0.6082297406673052,2.0,4.0
Claude Sonnet 4.5,6,2.321928094887362,0.5205321505961645,1.584962500721156,3.169925001442312
GPT 5,6,1.2,0.4216370213557839,1.0,2.0
Gemini 2.5 Pro,6,2.0,0.0,2.0,2.0
Grok 4,6,2.321928094887362,0.8048695524515276,1.0,3.169925001442312
Oracle,6,0.2,0.4216370213557839,0.0,1.0
Claude Sonnet 4.5,7,0.3,0.48304589153964794,0.0,1.0
GPT 5,7,0.3,0.48304589153964794,0.0,1.0
Gemini 2.5 Pro,7,0.3,0.48304589153964794,0.0,1.0
Grok 4,7,0.3,0.48304589153964794,0.0,1.0
Oracle,7,0.2,0.4216370213557839,0.0,1.0
Claude Sonnet 4.5,8,0.3,0.48304589153964794,0.0,1.0
GPT 5,8,0.3,0.48304589153964794,0.0,1.0
Gemini 2.5 Pro,8,0.3,0.48304589153964794,0.0,1.0
Grok 4,8,0.3,0.48304589153964794,0.0,1.0
Oracle,8,0.2,0.4216370213557839,0.0,1.0
Claude Sonnet 4.5,9,0.3,0.48304589153964794,0.0,1.0
GPT 5,9,0.3,0.48304589153964794,0.0,1.0
Gemini 2.5 Pro,9,0.3,0.48304589153964794,0.0,1.0
Grok 4,9,0.3,0.48304589153964794,0.0,1.0
Oracle,9,0.2,0.4216370213557839,0.0,1.0
