model,seed,step,entropy_bits
GPT 5,1,1,6.087462841250339
GPT 5,1,2,5.392317422778761
GPT 5,1,3,5.129283016944966
GPT 5,1,4,4.523561956057013
GPT 5,1,5,3.807354922057604
GPT 5,1,6,3.0
GPT 5,1,7,1.0
GPT 5,1,8,0.0
GPT 5,1,9,0.0
GPT 5,2,1,6.087462841250339
GPT 5,2,2,5.392317422778761
GPT 5,2,3,5.129283016944966
GPT 5,2,4,4.523561956057013
GPT 5,2,5,3.807354922057604
GPT 5,2,6,3.0
GPT 5,2,7,1.0
GPT 5,2,8,0.0
GPT 5,2,9,0.0
GPT 5,3,1,6.087462841250339
GPT 5,3,2,5.459431618637297
GPT 5,3,3,5.20945336562895
GPT 5,3,4,4.523561956057013
GPT 5,3,5,3.807354922057604
GPT 5,3,6,3.0
GPT 5,3,7,1.0
GPT 5,3,8,0.0
GPT 5,3,9,0.0
GPT 5,4,1,6.6293566200796095
GPT 5,4,2,6.022367813028454
GPT 5,4,3,5.700439718141092
GPT 5,4,4,5.169925001442312
GPT 5,4,5,4.523561956057013
GPT 5,4,6,3.700439718141092
GPT 5,4,7,1.0
GPT 5,4,8,0.0
GPT 5,4,9,0.0
GPT 5,5,1,6.643856189774724
GPT 5,5,2,6.0
GPT 5,5,3,5.700439718141092
GPT 5,5,4,5.20945336562895
GPT 5,5,5,4.523561956057013
GPT 5,5,6,3.584962500721156
GPT 5,5,7,1.0
GPT 5,5,8,0.0
GPT 5,5,9,0.0
GPT 5,6,1,6.643856189774724
GPT 5,6,2,6.0
GPT 5,6,3,5.672425341971495
GPT 5,6,4,5.20945336562895
GPT 5,6,5,4.459431618637297
GPT 5,6,6,3.584962500721156
GPT 5,6,7,1.0
GPT 5,6,8,0.0
GPT 5,6,9,0.0
GPT 5,7,1,6.643856189774724
GPT 5,7,2,6.0
GPT 5,7,3,5.727920454563199
GPT 5,7,4,5.169925001442312
GPT 5,7,5,4.459431618637297
GPT 5,7,6,3.584962500721156
GPT 5,7,7,1.0
GPT 5,7,8,0.0
GPT 5,7,9,0.0
GPT 5,8,1,6.643856189774724
GPT 5,8,2,6.0
GPT 5,8,3,5.700439718141092
GPT 5,8,4,5.169925001442312
GPT 5,8,5,4.459431618637297
GPT 5,8,6,3.4594316186372973
GPT 5,8,7,1.0
GPT 5,8,8,0.0
GPT 5,8,9,0.0
GPT 5,9,1,6.6293566200796095
GPT 5,9,2,6.0
GPT 5,9,3,5.700439718141092
GPT 5,9,4,5.129283016944966
GPT 5,9,5,4.392317422778761
GPT 5,9,6,3.700439718141092
GPT 5,9,7,1.0
GPT 5,9,8,0.0
GPT 5,9,9,0.0
GPT 5,10,1,6.643856189774724
GPT 5,10,2,6.0
GPT 5,10,3,5.700439718141092
GPT 5,10,4,5.169925001442312
GPT 5,10,5,4.392317422778761
GPT 5,10,6,3.4594316186372973
GPT 5,10,7,1.0
GPT 5,10,8,0.0
GPT 5,10,9,0.0
Gemini 2.5 Pro,1,1,6.087462841250339
Gemini 2.5 Pro,1,2,5.459431618637297
Gemini 2.5 Pro,1,3,5.20945336562895
Gemini 2.5 Pro,1,4,4.584962500721156
Gemini 2.5 Pro,1,5,4.321928094887363
Gemini 2.5 Pro,1,6,3.584962500721156
Gemini 2.5 Pro,1,7,2.807354922057604
Gemini 2.5 Pro,1,8,1.0
Gemini 2.5 Pro,1,9,0.0
Gemini 2.5 Pro,2,1,6.066089190457772
Gemini 2.5 Pro,2,2,5.459431618637297
Gemini 2.5 Pro,2,3,5.20945336562895
Gemini 2.5 Pro,2,4,4.584962500721156
Gemini 2.5 Pro,2,5,4.321928094887363
Gemini 2.5 Pro,2,6,3.584962500721156
Gemini 2.5 Pro,2,7,2.584962500721156
Gemini 2.5 Pro,2,8,1.0
Gemini 2.5 Pro,2,9,0.0
Gemini 2.5 Pro,3,1,6.087462841250339
Gemini 2.5 Pro,3,2,5.459431618637297
Gemini 2.5 Pro,3,3,5.20945336562895
Gemini 2.5 Pro,3,4,4.584962500721156
Gemini 2.5 Pro,3,5,4.321928094887363
Gemini 2.5 Pro,3,6,3.4594316186372973
Gemini 2.5 Pro,3,7,2.321928094887362
Gemini 2.5 Pro,3,8,1.0
Gemini 2.5 Pro,3,9,0.0
Gemini 2.5 Pro,4,1,6.658211482751795
Gemini 2.5 Pro,4,2,6.022367813028454
Gemini 2.5 Pro,4,3,5.754887502163468
Gemini 2.5 Pro,4,4,5.321928094887363
Gemini 2.5 Pro,4,5,4.754887502163468
Gemini 2.5 Pro,4,6,4.087462841250339
Gemini 2.5 Pro,4,7,3.0
Gemini 2.5 Pro,4,8,1.0
Gemini 2.5 Pro,4,9,0.0
Gemini 2.5 Pro,5,1,6.643856189774724
Gemini 2.5 Pro,5,2,6.044394119358453
Gemini 2.5 Pro,5,3,5.727920454563199
Gemini 2.5 Pro,5,4,5.321928094887363
Gemini 2.5 Pro,5,5,4.754887502163468
Gemini 2.5 Pro,5,6,4.169925001442312
Gemini 2.5 Pro,5,7,3.0
Gemini 2.5 Pro,5,8,1.0
Gemini 2.5 Pro,5,9,0.0
Gemini 2.5 Pro,6,1,6.658211482751795
Gemini 2.5 Pro,6,2,6.022367813028454
Gemini 2.5 Pro,6,3,5.754887502163468
Gemini 2.5 Pro,6,4,5.321928094887363
Gemini 2.5 Pro,6,5,4.807354922057604
