model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Claude Sonnet 4.5,1,6.614572080737084,0.0411755780444183,6.573396502692665,6.655747658781502
Claude Sonnet 4.5,2,6.287596469120584,0.0277767644484337,6.25981970467215,6.315373233569018
Claude Sonnet 4.5,3,5.397969132733922,0.0379989563175946,5.359970176416328,5.435968089051517
Claude Sonnet 4.5,4,4.463965729349427,0.0662795945252658,4.397686134824161,4.530245323874693
Claude Sonnet 4.5,5,3.010605741802183,0.1231042267039817,2.8875015150982013,3.133709968506165
Claude Sonnet 4.5,6,1.584962500721156,0.0,1.584962500721156,1.584962500721156
Claude Sonnet 4.5,7,1.0,0.0,1.0,1.0
Claude Sonnet 4.5,8,0.0,0.0,0.0,0.0
GPT 5,1,6.619863151957534,0.0301907375288846,6.58967241442865,6.6500538894864185
GPT 5,2,6.197916365534286,0.0614044710005422,6.136511894533744,6.259320836534828
GPT 5,3,5.311993586177666,0.0355058126117978,5.276487773565868,5.347499398789464
GPT 5,4,4.163090871827096,0.0610161880517865,4.10207468377531,4.224107059878882
GPT 5,5,2.5473530284543826,0.1672631157891584,2.380089912665224,2.714616144243541
GPT 5,6,0.0,0.0,0.0,0.0
GPT 5,7,0.0,0.0,0.0,0.0
GPT 5,8,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,1,6.621276813124541,0.0360461067406379,6.585230706383903,6.657322919865179
Gemini 2.5 Pro,2,6.1964171193035416,0.0420020413792764,6.1544150779242655,6.238419160682818
Gemini 2.5 Pro,3,5.172878062726932,0.0570335950435037,5.115844467683428,5.229911657770436
Gemini 2.5 Pro,4,4.3323172476585725,0.0868336895251089,4.245483558133464,4.419150937183681
Gemini 2.5 Pro,5,2.785417349639411,0.1570709626427257,2.628346386996685,2.9424883122821366
Gemini 2.5 Pro,6,1.0,0.0,1.0,1.0
Gemini 2.5 Pro,7,0.0,0.0,0.0,0.0
Gemini 2.5 Pro,8,0.0,0.0,0.0,0.0
Grok 4,1,6.6144297288559,0.0400526437385618,6.574377085117338,6.654482372594463
Grok 4,2,6.350110306605359,0.0661231273713059,6.283987179234053,6.4162334339766645
Grok 4,3,5.579395321035381,0.0562090754285554,5.5231862456068255,5.635604396463937
Grok 4,4,4.717146530728501,0.0701473936905561,4.646999137037945,4.787293924419057
Grok 4,5,3.3225321193693014,0.0882878455507648,3.2342442738185366,3.410819964920066
Grok 4,6,1.0,0.0,1.0,1.0
Grok 4,7,0.0,0.0,0.0,0.0
Grok 4,8,0.0,0.0,0.0,0.0
Oracle,1,6.610760045135654,0.0433812457361263,6.567378799399528,6.654141290871781
Oracle,2,6.174049945884057,0.0358212335433551,6.138228712340703,6.209871179427412
Oracle,3,5.142699183490394,0.0560930036592765,5.086606179831118,5.19879218714967
Oracle,4,4.058374193957127,0.0461444014096052,4.012229792547521,4.104518595366732
Oracle,5,2.3175258751467034,0.0858331822890497,2.2316926928576537,2.403359057435753
Oracle,6,0.0,0.0,0.0,0.0
Oracle,7,0.0,0.0,0.0,0.0
Oracle,8,0.0,0.0,0.0,0.0
