model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Claude Haiku 4.5,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
Claude Haiku 4.5,2,4.087462841250339,0.06777232309578916,4.0,4.247927513443585
Claude Haiku 4.5,3,3.321928094887362,0.14820807082383616,3.169925001442312,3.584962500721156
Claude Haiku 4.5,4,2.584962500721156,0.1580799981640484,2.321928094887362,2.807354922057604
Claude Haiku 4.5,5,2.0,0.21662271921530743,1.584962500721156,2.321928094887362
Claude Haiku 4.5,6,1.584962500721156,0.0,1.584962500721156,1.584962500721156
Claude Haiku 4.5,7,1.0,0.0,1.0,1.0
GPT 4.1,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
GPT 4.1,2,4.247927513443585,0.12497557443588524,4.087462841250339,4.523561956057013
GPT 4.1,3,3.700439718141092,0.09968619496575812,3.584962500721156,3.9068905956085187
GPT 4.1,4,3.169925001442312,0.11953582380576366,3.0,3.321928094887362
GPT 4.1,5,2.584962500721156,0.11473656330425266,2.321928094887362,2.807354922057604
GPT 4.1,6,1.584962500721156,0.0,1.584962500721156,1.584962500721156
GPT 4.1,7,1.0,0.0,1.0,1.0
Gemini 2.0 Flash,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
Gemini 2.0 Flash,2,4.247927513443585,0.11020843132999855,4.087462841250339,4.392317422778761
Gemini 2.0 Flash,3,3.584962500721156,0.11852320466664643,3.321928094887362,3.700439718141092
Gemini 2.0 Flash,4,2.807354922057604,0.17353362077797843,2.584962500721156,3.0
Gemini 2.0 Flash,5,2.321928094887362,0.11090504338984929,2.321928094887362,2.584962500721156
Gemini 2.0 Flash,6,1.584962500721156,0.0,1.584962500721156,1.584962500721156
Gemini 2.0 Flash,7,1.0,0.0,1.0,1.0
Oracle,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
Oracle,2,3.584962500721156,0.0486894699873961,3.584962500721156,3.700439718141092
Oracle,3,2.807354922057604,0.07032665857830034,2.584962500721156,2.807354922057604
Oracle,4,1.584962500721156,0.0,1.584962500721156,1.584962500721156
Oracle,5,1.0,0.0,1.0,1.0
Oracle,6,1.0,0.0,1.0,1.0
Oracle,7,1.0,0.0,1.0,1.0
