model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Claude Haiku 4.5,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
Claude Haiku 4.5,2,4.111255456383025,0.0677723230957891,4.0,4.247927513443585
Claude Haiku 4.5,3,3.371635062115098,0.1482080708238361,3.169925001442312,3.584962500721156
Claude Haiku 4.5,4,2.5282914211046625,0.1580799981640484,2.321928094887362,2.807354922057604
Claude Haiku 4.5,5,1.9491853096329677,0.2166227192153074,1.584962500721156,2.321928094887362
Claude Haiku 4.5,6,1.0,0.0,1.0,1.0
Claude Haiku 4.5,7,0.4,0.5163977794943222,0.0,1.0
GPT 4.1,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
GPT 4.1,2,4.280483153452,0.1249755744358852,4.087462841250339,4.523561956057013
GPT 4.1,3,3.67489391891986,0.0996861949657581,3.584962500721156,3.906890595608519
GPT 4.1,4,3.1493481196986286,0.1195358238057636,3.0,3.321928094887362
GPT 4.1,5,2.5808983022714216,0.1147365633042526,2.321928094887362,2.807354922057604
GPT 4.1,6,1.990689059560852,0.1748100200429754,1.584962500721156,2.321928094887362
GPT 4.1,7,0.3,0.4830458915396479,0.0,1.0
Gemini 2.0 Flash,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
Gemini 2.0 Flash,2,4.21342671660763,0.1102084313299985,4.087462841250339,4.392317422778761
Gemini 2.0 Flash,3,3.5440952389966065,0.1185232046666464,3.321928094887362,3.700439718141092
Gemini 2.0 Flash,4,2.878463484555752,0.1735336207779784,2.584962500721156,3.0
Gemini 2.0 Flash,5,2.374534976054121,0.1109050433898492,2.321928094887362,2.584962500721156
Gemini 2.0 Flash,6,1.5679700005769248,0.2384090328373738,1.0,2.0
Gemini 2.0 Flash,7,0.3,0.4830458915396479,0.0,1.0
Oracle,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
Oracle,2,3.580941034855587,0.1136320761258956,3.4594316186372973,3.700439718141092
Oracle,3,2.801405453378794,0.1385588797711959,2.584962500721156,3.0
Oracle,4,1.6264662506490404,0.1312463812101637,1.584962500721156,2.0
Oracle,5,0.2,0.4216370213557839,0.0,1.0
Oracle,6,0.2,0.0,0.2,0.2
Oracle,7,0.2,0.0,0.2,0.2
