model,step,entropy_bits_mean,entropy_bits_std,entropy_bits_lo,entropy_bits_hi
Claude Haiku 4.5,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
Claude Haiku 4.5,2,4.459431618637297,0.13992089746508618,4.321928094887363,4.643856189774724
Claude Haiku 4.5,3,4.169925001442312,0.21630743811870684,3.700439718141092,4.459431618637297
Claude Haiku 4.5,4,3.9068905956085187,0.16761714238087488,3.584962500721156,4.087462841250339
Claude Haiku 4.5,5,2.584962500721156,0.18093048381701574,2.321928094887362,2.807354922057604
Claude Haiku 4.5,6,1.0,0.0,1.0,1.0
Claude Haiku 4.5,7,0.0,0.0,0.0,0.0
Claude Haiku 4.5,8,0.0,0.0,0.0,0.0
GPT 4.1,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
GPT 4.1,2,4.321928094887363,0.12737488624009075,4.169925001442312,4.523561956057013
GPT 4.1,3,3.584962500721156,0.23338999770437366,3.169925001442312,4.0
GPT 4.1,4,2.807354922057604,0.2266486072083727,2.321928094887362,3.0
GPT 4.1,5,2.0,0.16967100377381195,2.0,2.321928094887362
GPT 4.1,6,1.584962500721156,0.23840903283737383,1.0,2.0
GPT 4.1,7,1.0,0.0,1.0,1.0
GPT 4.1,8,0.0,0.0,0.0,0.0
Gemini 2.0 Flash,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
Gemini 2.0 Flash,2,4.247927513443585,0.08081874296644631,4.087462841250339,4.392317422778761
Gemini 2.0 Flash,3,3.584962500721156,0.13349610945030518,3.321928094887362,3.807354922057604
Gemini 2.0 Flash,4,3.0,0.17292829628003717,2.807354922057604,3.4594316186372973
Gemini 2.0 Flash,5,2.321928094887362,0.20513989719261255,2.0,2.584962500721156
Gemini 2.0 Flash,6,1.0,0.18498138480667412,1.0,1.584962500721156
Gemini 2.0 Flash,7,0.0,0.0,0.0,0.0
Gemini 2.0 Flash,8,0.0,0.0,0.0,0.0
Oracle,1,4.643856189774724,0.0,4.643856189774724,4.643856189774724
Oracle,2,4.0,0.0951699297399276,3.9068905956085187,4.087462841250339
Oracle,3,3.0,0.191091210380623,2.807354922057604,3.169925001442312
Oracle,4,2.0,0.1748100200429754,1.584962500721156,2.321928094887362
Oracle,5,1.0,0.0,1.0,1.0
Oracle,6,0.0,0.0,0.0,0.0
Oracle,7,0.0,0.0,0.0,0.0
Oracle,8,0.0,0.0,0.0,0.0
