model,step,mean_bits,mean_bits_rounded_log2int,std_bits,n_targets
GPT 5,1,5.903949315345533,5.906890595608519,0.19298110494463389,30
GPT 5,2,3.8912778752149007,3.9068905956085187,0.2976699765981929,30
GPT 5,3,1.6751708254956048,1.584962500721156,0.6958430960280545,30
GPT 5,4,0.3861654166907052,0.0,0.5264845760996849,30
GPT 5,5,0.1,0.0,0.30512857662936466,30
GPT 5,6,0.1,0.0,0.30512857662936466,30
GPT 5,7,0.1,0.0,0.30512857662936466,30
GPT 5,8,0.0,0.0,0.0,30
Gemini 2.5 Pro,1,6.346831225105219,6.339850002884624,0.21261269825730794,30
Gemini 2.5 Pro,2,4.552056042452261,4.523561956057013,0.36451928405158174,30
Gemini 2.5 Pro,3,2.8350118807297027,2.807354922057604,0.5711248417051152,30
Gemini 2.5 Pro,4,1.3447269300033395,1.584962500721156,0.7227773826850962,30
Gemini 2.5 Pro,5,0.3056641667147437,0.0,0.5324405349015743,30
Gemini 2.5 Pro,6,0.06666666666666667,0.0,0.2537081317024625,30
Gemini 2.5 Pro,7,0.06666666666666667,0.0,0.2537081317024625,30
Gemini 2.5 Pro,8,0.06666666666666667,0.0,0.2537081317024625,30
Gemini 2.5 Pro,9,0.03333333333333333,0.0,0.18257418583505533,30
Gemini 2.5 Pro,10,0.0,0.0,0.0,30
Claude Sonnet 4.5,1,6.450245838123848,6.442943495848728,0.2200761320729723,30
Claude Sonnet 4.5,2,4.830125688907761,4.807354922057604,0.25938828818919507,30
Claude Sonnet 4.5,3,3.208292224049713,3.169925001442312,0.47148081867981273,30
Claude Sonnet 4.5,4,1.6843218269846587,1.584962500721156,0.6470499069665996,30
Claude Sonnet 4.5,5,0.6893233335256416,1.0,0.7391012549094035,30
Claude Sonnet 4.5,6,0.2528320833573719,0.0,0.47685696031581015,30
Claude Sonnet 4.5,7,0.15283208335737186,0.0,0.40731995208340616,30
Claude Sonnet 4.5,8,0.06666666666666667,0.0,0.2537081317024625,30
Claude Sonnet 4.5,9,0.03333333333333333,0.0,0.18257418583505533,30
Claude Sonnet 4.5,10,0.0,0.0,0.0,30
Grok 4,1,6.455315952160365,6.459431618637297,0.23240141312721835,30
Grok 4,2,4.68448873127143,4.700439718141092,0.47148770287739494,30
Grok 4,3,2.985891834337254,3.0,0.5421523176615411,30
Grok 4,4,1.5203756191697806,1.584962500721156,0.7973780049034291,30
Grok 4,5,0.6641604167868593,1.0,0.6249761062099305,30
Grok 4,6,0.2861654166907052,0.0,0.49324354889953786,30
Grok 4,7,0.0861654166907052,0.0,0.3367886760775386,30
Grok 4,8,0.05283208335737187,0.0,0.28937323814825844,30
Grok 4,9,0.03333333333333333,0.0,0.18257418583505533,30
Grok 4,10,0.0,0.0,0.0,30
Oracle (Optimal),1,5.914736602211705,5.906890595608519,0.10099906816517482,30
Oracle (Optimal),2,3.547068164414291,3.584962500721156,0.359088390205962,30
Oracle (Optimal),3,1.424619789827427,1.584962500721156,0.6560381793311045,30
Oracle (Optimal),4,0.16666666666666666,0.0,0.3790490217894517,30
Oracle (Optimal),5,0.0,0.0,0.0,30
