step,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30
0,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881
1,6.169925001442312,6.285402218862249,6.3750394313469245,6.149747119504682,6.303780748177103,6.672425341971495,6.303780748177103,6.845490050944375,6.149747119504682,6.3750394313469245,6.3750394313469245,6.169925001442312,6.149747119504682,6.285402218862249,6.3750394313469245,6.672425341971495,6.149747119504682,6.285402218862249,6.285402218862249,6.149747119504682,6.672425341971495,6.169925001442312,6.303780748177103,6.303780748177103,6.149747119504682,6.672425341971495,6.845490050944375,6.303780748177103,6.285402218862249,6.169925001442312
2,4.807354922057604,4.321928094887363,4.169925001442312,4.643856189774724,4.523561956057013,5.20945336562895,4.247927513443585,4.954196310386875,4.247927513443585,4.754887502163468,5.20945336562895,4.807354922057604,4.087462841250339,4.321928094887363,4.321928094887363,4.523561956057013,3.9068905956085187,4.321928094887363,4.392317422778761,3.9068905956085187,4.954196310386875,4.459431618637297,4.523561956057013,4.247927513443585,4.321928094887363,4.523561956057013,5.044394119358453,4.954196310386875,5.044394119358453,4.807354922057604
3,3.4594316186372973,3.169925001442312,3.4594316186372973,2.321928094887362,3.0,3.4594316186372973,2.584962500721156,3.169925001442312,2.584962500721156,3.807354922057604,3.321928094887362,2.321928094887362,2.584962500721156,1.584962500721156,2.807354922057604,2.0,2.584962500721156,3.169925001442312,3.0,2.0,2.584962500721156,2.584962500721156,2.807354922057604,3.169925001442312,2.584962500721156,2.0,3.0,2.584962500721156,4.169925001442312,3.169925001442312
4,2.321928094887362,1.0,1.584962500721156,1.0,1.0,1.584962500721156,0.0,2.321928094887362,1.0,2.807354922057604,1.0,2.0,2.0,0.0,2.321928094887362,1.0,1.584962500721156,2.321928094887362,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.584962500721156,2.321928094887362,1.584962500721156
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.584962500721156,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,1.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
