step,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30
0,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881,8.228818690495881
1,6.20945336562895,6.321928094887363,6.523561956057013,6.714245517666122,6.714245517666122,6.303780748177103,6.066089190457772,6.523561956057013,6.20945336562895,6.066089190457772,6.714245517666122,6.066089190457772,6.523561956057013,6.6865005271832185,6.523561956057013,6.303780748177103,6.6865005271832185,6.303780748177103,6.523561956057013,6.523561956057013,6.303780748177103,6.6865005271832185,6.303780748177103,6.714245517666122,6.714245517666122,6.066089190457772,6.6865005271832185,6.6865005271832185,6.6865005271832185,6.303780748177103
2,4.247927513443585,4.643856189774724,4.459431618637297,5.523561956057013,5.523561956057013,4.169925001442312,3.700439718141092,4.954196310386875,4.247927513443585,3.700439718141092,4.906890595608519,4.392317422778761,4.584962500721156,4.700439718141092,4.459431618637297,4.643856189774724,4.906890595608519,4.392317422778761,4.643856189774724,4.459431618637297,4.247927513443585,4.906890595608519,4.857980995127572,4.857980995127572,5.523561956057013,4.857980995127572,5.20945336562895,5.20945336562895,5.20945336562895,4.392317422778761
3,3.0,2.584962500721156,3.0,3.169925001442312,4.0,2.807354922057604,2.321928094887362,3.4594316186372973,2.0,2.0,3.4594316186372973,3.321928094887362,2.807354922057604,2.321928094887362,3.0,3.584962500721156,3.169925001442312,2.584962500721156,2.807354922057604,2.807354922057604,3.4594316186372973,3.169925001442312,3.321928094887362,3.0,3.584962500721156,3.321928094887362,3.169925001442312,3.584962500721156,3.169925001442312,1.584962500721156
4,0.0,1.0,2.321928094887362,2.0,1.584962500721156,2.0,2.0,1.584962500721156,1.0,1.584962500721156,2.0,2.584962500721156,1.584962500721156,2.0,2.321928094887362,2.584962500721156,1.0,1.584962500721156,0.0,1.584962500721156,0.0,1.0,1.0,1.0,2.321928094887362,2.321928094887362,2.321928094887362,2.321928094887362,1.0,0.0
5,0.0,0.0,1.0,1.584962500721156,1.0,1.584962500721156,1.0,1.584962500721156,0.0,0.0,0.0,1.584962500721156,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.584962500721156,1.0,1.0,1.0,1.0,0.0
6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.584962500721156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.584962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
